2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 443560 bytes | Delta: 0 bytes
2025-04-29 22:55:56 | Memory: 447656 bytes | Delta: 4096 bytes
